,problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,solved_all_training,overfit_prog_id,replicate_id,seed,directory,found
753,smallest,cohort,10,0_00000,False,False,-1,2410,10,10,False,-1,2,141102,smallest/cohort/10/0_00000/141102/,FALSE
784,smallest,cohort,10,0_00000,False,False,-1,2925,10,10,True,0,33,141133,smallest/cohort/10/0_00000/141133/,FALSE
1005,smallest,cohort,5,0_00000,False,False,-1,3751,5,5,True,6,4,142104,smallest/cohort/5/0_00000/142104/,FALSE
1008,smallest,cohort,5,0_00000,False,False,-1,4886,5,5,True,0,7,142107,smallest/cohort/5/0_00000/142107/,FALSE
1009,smallest,cohort,5,0_00000,False,False,-1,3515,5,5,True,0,8,142108,smallest/cohort/5/0_00000/142108/,FALSE
1065,smallest,cohort,5,0_50000,False,False,-1,5299,5,5,False,-1,14,142214,smallest/cohort/5/0_50000/142214/,FALSE
1150,smallest,cohort,5,0_75000,False,False,-1,4551,5,5,True,1,49,142349,smallest/cohort/5/0_75000/142349/,FALSE
3552,smallest,downsampled,5,0_50000,False,False,-1,2824,5,5,False,-1,1,152201,smallest/downsampled/5/0_50000/152201/,FALSE
3578,smallest,downsampled,5,0_50000,False,False,-1,5738,5,5,False,-1,27,152227,smallest/downsampled/5/0_50000/152227/,FALSE
8342,for-loop-index,cohort,10,0_50000,False,False,-1,2578,10,8,False,-1,41,241241,for-loop-index/cohort/10/0_50000/241241/,FALSE
8402,for-loop-index,cohort,10,0_90000,False,False,-1,2699,10,7,False,-1,1,241401,for-loop-index/cohort/10/0_90000/241401/,FALSE
8441,for-loop-index,cohort,10,0_90000,False,False,-1,1813,10,6,False,-1,40,241440,for-loop-index/cohort/10/0_90000/241440/,FALSE
8553,for-loop-index,cohort,5,0_50000,False,False,-1,5014,5,5,False,-1,2,242202,for-loop-index/cohort/5/0_50000/242202/,FALSE
8560,for-loop-index,cohort,5,0_50000,False,False,-1,1657,5,5,False,-1,9,242209,for-loop-index/cohort/5/0_50000/242209/,FALSE
8574,for-loop-index,cohort,5,0_50000,False,False,-1,2599,5,5,False,-1,23,242223,for-loop-index/cohort/5/0_50000/242223/,FALSE
8576,for-loop-index,cohort,5,0_50000,False,False,-1,1291,5,5,False,-1,25,242225,for-loop-index/cohort/5/0_50000/242225/,FALSE
8577,for-loop-index,cohort,5,0_50000,False,False,-1,2059,5,5,False,-1,26,242226,for-loop-index/cohort/5/0_50000/242226/,FALSE
8598,for-loop-index,cohort,5,0_50000,False,False,-1,5999,5,5,False,-1,47,242247,for-loop-index/cohort/5/0_50000/242247/,FALSE
8652,for-loop-index,cohort,5,0_90000,False,False,-1,4699,5,5,False,-1,1,242401,for-loop-index/cohort/5/0_90000/242401/,FALSE
8679,for-loop-index,cohort,5,0_90000,False,False,-1,5599,5,5,False,-1,28,242428,for-loop-index/cohort/5/0_90000/242428/,FALSE
8737,for-loop-index,cohort,5,0_95000,False,False,-1,5999,5,5,False,-1,36,242536,for-loop-index/cohort/5/0_95000/242536/,FALSE
9354,for-loop-index,reduced,25,0_75000,False,False,-1,1139,25,17,False,-1,3,230303,for-loop-index/reduced/25/0_75000/230303/,FALSE
9357,for-loop-index,reduced,25,0_75000,False,False,-1,1163,25,5,False,-1,6,230306,for-loop-index/reduced/25/0_75000/230306/,FALSE
9359,for-loop-index,reduced,25,0_75000,False,False,-1,1199,22,2,False,-1,8,230308,for-loop-index/reduced/25/0_75000/230308/,FALSE
9505,for-loop-index,reduced,10,0_00000,False,False,-1,1625,10,10,False,-1,4,231104,for-loop-index/reduced/10/0_00000/231104/,FALSE
9554,for-loop-index,reduced,10,0_50000,False,False,-1,2199,6,3,False,-1,3,231203,for-loop-index/reduced/10/0_50000/231203/,FALSE
9556,for-loop-index,reduced,10,0_50000,False,False,-1,1149,10,6,False,-1,5,231205,for-loop-index/reduced/10/0_50000/231205/,FALSE
9557,for-loop-index,reduced,10,0_50000,False,False,-1,2462,9,2,False,-1,6,231206,for-loop-index/reduced/10/0_50000/231206/,FALSE
9562,for-loop-index,reduced,10,0_50000,False,False,-1,699,10,4,False,-1,11,231211,for-loop-index/reduced/10/0_50000/231211/,FALSE
9563,for-loop-index,reduced,10,0_50000,False,False,-1,1714,10,7,False,-1,12,231212,for-loop-index/reduced/10/0_50000/231212/,FALSE
9594,for-loop-index,reduced,10,0_50000,False,False,-1,2999,9,7,False,-1,43,231243,for-loop-index/reduced/10/0_50000/231243/,FALSE
9598,for-loop-index,reduced,10,0_50000,False,False,-1,2371,9,3,False,-1,47,231247,for-loop-index/reduced/10/0_50000/231247/,FALSE
9758,for-loop-index,reduced,5,0_00000,False,False,-1,4399,5,5,False,-1,7,232107,for-loop-index/reduced/5/0_00000/232107/,FALSE
9762,for-loop-index,reduced,5,0_00000,False,False,-1,5974,3,3,False,-1,11,232111,for-loop-index/reduced/5/0_00000/232111/,FALSE
9791,for-loop-index,reduced,5,0_00000,False,False,-1,5165,5,5,False,-1,40,232140,for-loop-index/reduced/5/0_00000/232140/,FALSE
9798,for-loop-index,reduced,5,0_00000,False,False,-1,3399,5,5,False,-1,47,232147,for-loop-index/reduced/5/0_00000/232147/,FALSE
9800,for-loop-index,reduced,5,0_00000,False,False,-1,3470,5,5,False,-1,49,232149,for-loop-index/reduced/5/0_00000/232149/,FALSE
9803,for-loop-index,reduced,5,0_50000,False,False,-1,5399,5,4,False,-1,2,232202,for-loop-index/reduced/5/0_50000/232202/,FALSE
9814,for-loop-index,reduced,5,0_50000,False,False,-1,4445,4,2,False,-1,13,232213,for-loop-index/reduced/5/0_50000/232213/,FALSE
9830,for-loop-index,reduced,5,0_50000,False,False,-1,4499,5,4,False,-1,29,232229,for-loop-index/reduced/5/0_50000/232229/,FALSE
9842,for-loop-index,reduced,5,0_50000,False,False,-1,5699,5,4,False,-1,41,232241,for-loop-index/reduced/5/0_50000/232241/,FALSE
9848,for-loop-index,reduced,5,0_50000,False,False,-1,4178,5,5,False,-1,47,232247,for-loop-index/reduced/5/0_50000/232247/,FALSE
9850,for-loop-index,reduced,5,0_50000,False,False,-1,5899,5,3,False,-1,49,232249,for-loop-index/reduced/5/0_50000/232249/,FALSE
9883,for-loop-index,reduced,5,0_75000,False,False,-1,2999,5,3,False,-1,32,232332,for-loop-index/reduced/5/0_75000/232332/,FALSE
9886,for-loop-index,reduced,5,0_75000,False,False,-1,4517,5,4,False,-1,35,232335,for-loop-index/reduced/5/0_75000/232335/,FALSE
9893,for-loop-index,reduced,5,0_75000,False,False,-1,3399,4,2,False,-1,42,232342,for-loop-index/reduced/5/0_75000/232342/,FALSE
9926,for-loop-index,reduced,5,0_90000,False,False,-1,3699,5,4,False,-1,25,232425,for-loop-index/reduced/5/0_90000/232425/,FALSE
9954,for-loop-index,reduced,5,0_95000,False,False,-1,3415,4,0,False,-1,3,232503,for-loop-index/reduced/5/0_95000/232503/,FALSE
10909,for-loop-index,downsampled,10,0_90000,False,False,-1,2581,10,10,False,-1,8,251408,for-loop-index/downsampled/10/0_90000/251408/,FALSE
11039,for-loop-index,downsampled,5,0_00000,False,False,-1,3599,5,5,False,-1,38,252138,for-loop-index/downsampled/5/0_00000/252138/,FALSE
11091,for-loop-index,downsampled,5,0_50000,False,False,-1,286,5,5,False,-1,40,252240,for-loop-index/downsampled/5/0_50000/252240/,FALSE
11104,for-loop-index,downsampled,5,0_75000,False,False,-1,4199,5,3,False,-1,3,252303,for-loop-index/downsampled/5/0_75000/252303/,FALSE
11105,for-loop-index,downsampled,5,0_75000,False,False,-1,3825,5,3,False,-1,4,252304,for-loop-index/downsampled/5/0_75000/252304/,FALSE
11112,for-loop-index,downsampled,5,0_75000,False,False,-1,3899,5,3,False,-1,11,252311,for-loop-index/downsampled/5/0_75000/252311/,FALSE
11115,for-loop-index,downsampled,5,0_75000,False,False,-1,2399,5,5,False,-1,14,252314,for-loop-index/downsampled/5/0_75000/252314/,FALSE
11117,for-loop-index,downsampled,5,0_75000,False,False,-1,3857,5,5,False,-1,16,252316,for-loop-index/downsampled/5/0_75000/252316/,FALSE
11121,for-loop-index,downsampled,5,0_75000,False,False,-1,5399,5,5,False,-1,20,252320,for-loop-index/downsampled/5/0_75000/252320/,FALSE
11126,for-loop-index,downsampled,5,0_75000,False,False,-1,5278,5,4,False,-1,25,252325,for-loop-index/downsampled/5/0_75000/252325/,FALSE
11151,for-loop-index,downsampled,5,0_90000,False,False,-1,4099,5,4,False,-1,0,252400,for-loop-index/downsampled/5/0_90000/252400/,FALSE
11156,for-loop-index,downsampled,5,0_90000,False,False,-1,3999,5,3,False,-1,5,252405,for-loop-index/downsampled/5/0_90000/252405/,FALSE
11157,for-loop-index,downsampled,5,0_90000,False,False,-1,5293,5,3,False,-1,6,252406,for-loop-index/downsampled/5/0_90000/252406/,FALSE
11162,for-loop-index,downsampled,5,0_90000,False,False,-1,4019,5,4,False,-1,11,252411,for-loop-index/downsampled/5/0_90000/252411/,FALSE
11164,for-loop-index,downsampled,5,0_90000,False,False,-1,4871,5,4,False,-1,13,252413,for-loop-index/downsampled/5/0_90000/252413/,FALSE
11168,for-loop-index,downsampled,5,0_90000,False,False,-1,5699,5,4,False,-1,17,252417,for-loop-index/downsampled/5/0_90000/252417/,FALSE
11169,for-loop-index,downsampled,5,0_90000,False,False,-1,5199,5,3,False,-1,18,252418,for-loop-index/downsampled/5/0_90000/252418/,FALSE
11170,for-loop-index,downsampled,5,0_90000,False,False,-1,4987,5,5,False,-1,19,252419,for-loop-index/downsampled/5/0_90000/252419/,FALSE
11171,for-loop-index,downsampled,5,0_90000,False,False,-1,5099,5,5,False,-1,20,252420,for-loop-index/downsampled/5/0_90000/252420/,FALSE
11173,for-loop-index,downsampled,5,0_90000,False,False,-1,3584,5,3,False,-1,22,252422,for-loop-index/downsampled/5/0_90000/252422/,FALSE
11174,for-loop-index,downsampled,5,0_90000,False,False,-1,4399,5,3,False,-1,23,252423,for-loop-index/downsampled/5/0_90000/252423/,FALSE
11176,for-loop-index,downsampled,5,0_90000,False,False,-1,4499,5,4,False,-1,25,252425,for-loop-index/downsampled/5/0_90000/252425/,FALSE
11181,for-loop-index,downsampled,5,0_90000,False,False,-1,5199,5,4,False,-1,30,252430,for-loop-index/downsampled/5/0_90000/252430/,FALSE
11183,for-loop-index,downsampled,5,0_90000,False,False,-1,4699,5,4,False,-1,32,252432,for-loop-index/downsampled/5/0_90000/252432/,FALSE
11184,for-loop-index,downsampled,5,0_90000,False,False,-1,5003,5,3,False,-1,33,252433,for-loop-index/downsampled/5/0_90000/252433/,FALSE
11187,for-loop-index,downsampled,5,0_90000,False,False,-1,2799,5,4,False,-1,36,252436,for-loop-index/downsampled/5/0_90000/252436/,FALSE
11188,for-loop-index,downsampled,5,0_90000,False,False,-1,4199,5,4,False,-1,37,252437,for-loop-index/downsampled/5/0_90000/252437/,FALSE
11190,for-loop-index,downsampled,5,0_90000,False,False,-1,4199,5,4,False,-1,39,252439,for-loop-index/downsampled/5/0_90000/252439/,FALSE
11193,for-loop-index,downsampled,5,0_90000,False,False,-1,4956,5,3,False,-1,42,252442,for-loop-index/downsampled/5/0_90000/252442/,FALSE
11197,for-loop-index,downsampled,5,0_90000,False,False,-1,4020,5,3,False,-1,46,252446,for-loop-index/downsampled/5/0_90000/252446/,FALSE
11199,for-loop-index,downsampled,5,0_90000,False,False,-1,5437,5,4,False,-1,48,252448,for-loop-index/downsampled/5/0_90000/252448/,FALSE
11201,for-loop-index,downsampled,5,0_95000,False,False,-1,3399,5,4,False,-1,0,252500,for-loop-index/downsampled/5/0_95000/252500/,FALSE
11202,for-loop-index,downsampled,5,0_95000,False,False,-1,2999,5,3,False,-1,1,252501,for-loop-index/downsampled/5/0_95000/252501/,FALSE
11203,for-loop-index,downsampled,5,0_95000,False,False,-1,3799,5,5,False,-1,2,252502,for-loop-index/downsampled/5/0_95000/252502/,FALSE
11204,for-loop-index,downsampled,5,0_95000,False,False,-1,4499,5,3,False,-1,3,252503,for-loop-index/downsampled/5/0_95000/252503/,FALSE
11205,for-loop-index,downsampled,5,0_95000,False,False,-1,3689,5,4,False,-1,4,252504,for-loop-index/downsampled/5/0_95000/252504/,FALSE
11206,for-loop-index,downsampled,5,0_95000,False,False,-1,3601,5,4,False,-1,5,252505,for-loop-index/downsampled/5/0_95000/252505/,FALSE
11207,for-loop-index,downsampled,5,0_95000,False,False,-1,4499,5,5,False,-1,6,252506,for-loop-index/downsampled/5/0_95000/252506/,FALSE
11210,for-loop-index,downsampled,5,0_95000,False,False,-1,3799,5,3,False,-1,9,252509,for-loop-index/downsampled/5/0_95000/252509/,FALSE
11212,for-loop-index,downsampled,5,0_95000,False,False,-1,4099,5,3,False,-1,11,252511,for-loop-index/downsampled/5/0_95000/252511/,FALSE
11213,for-loop-index,downsampled,5,0_95000,False,False,-1,4157,5,3,False,-1,12,252512,for-loop-index/downsampled/5/0_95000/252512/,FALSE
11214,for-loop-index,downsampled,5,0_95000,False,False,-1,5699,5,3,False,-1,13,252513,for-loop-index/downsampled/5/0_95000/252513/,FALSE
11215,for-loop-index,downsampled,5,0_95000,False,False,-1,4099,5,5,False,-1,14,252514,for-loop-index/downsampled/5/0_95000/252514/,FALSE
11216,for-loop-index,downsampled,5,0_95000,False,False,-1,4399,5,3,False,-1,15,252515,for-loop-index/downsampled/5/0_95000/252515/,FALSE
11217,for-loop-index,downsampled,5,0_95000,False,False,-1,5342,5,3,False,-1,16,252516,for-loop-index/downsampled/5/0_95000/252516/,FALSE
11219,for-loop-index,downsampled,5,0_95000,False,False,-1,4299,5,3,False,-1,18,252518,for-loop-index/downsampled/5/0_95000/252518/,FALSE
11222,for-loop-index,downsampled,5,0_95000,False,False,-1,4099,5,5,False,-1,21,252521,for-loop-index/downsampled/5/0_95000/252521/,FALSE
11224,for-loop-index,downsampled,5,0_95000,False,False,-1,5199,5,5,False,-1,23,252523,for-loop-index/downsampled/5/0_95000/252523/,FALSE
11226,for-loop-index,downsampled,5,0_95000,False,False,-1,5399,5,3,False,-1,25,252525,for-loop-index/downsampled/5/0_95000/252525/,FALSE
11228,for-loop-index,downsampled,5,0_95000,False,False,-1,5636,5,3,False,-1,27,252527,for-loop-index/downsampled/5/0_95000/252527/,FALSE
11232,for-loop-index,downsampled,5,0_95000,False,False,-1,4199,5,4,False,-1,31,252531,for-loop-index/downsampled/5/0_95000/252531/,FALSE
11233,for-loop-index,downsampled,5,0_95000,False,False,-1,4999,5,3,False,-1,32,252532,for-loop-index/downsampled/5/0_95000/252532/,FALSE
11235,for-loop-index,downsampled,5,0_95000,False,False,-1,5099,5,3,False,-1,34,252534,for-loop-index/downsampled/5/0_95000/252534/,FALSE
11237,for-loop-index,downsampled,5,0_95000,False,False,-1,5199,5,3,False,-1,36,252536,for-loop-index/downsampled/5/0_95000/252536/,FALSE
11238,for-loop-index,downsampled,5,0_95000,False,False,-1,5382,5,4,False,-1,37,252537,for-loop-index/downsampled/5/0_95000/252537/,FALSE
11240,for-loop-index,downsampled,5,0_95000,False,False,-1,4599,5,3,False,-1,39,252539,for-loop-index/downsampled/5/0_95000/252539/,FALSE
11242,for-loop-index,downsampled,5,0_95000,False,False,-1,4504,5,4,False,-1,41,252541,for-loop-index/downsampled/5/0_95000/252541/,FALSE
11243,for-loop-index,downsampled,5,0_95000,False,False,-1,3599,5,3,False,-1,42,252542,for-loop-index/downsampled/5/0_95000/252542/,FALSE
11244,for-loop-index,downsampled,5,0_95000,False,False,-1,3499,5,4,False,-1,43,252543,for-loop-index/downsampled/5/0_95000/252543/,FALSE
11245,for-loop-index,downsampled,5,0_95000,False,False,-1,4658,5,3,False,-1,44,252544,for-loop-index/downsampled/5/0_95000/252544/,FALSE
11246,for-loop-index,downsampled,5,0_95000,False,False,-1,5599,5,3,False,-1,45,252545,for-loop-index/downsampled/5/0_95000/252545/,FALSE
11247,for-loop-index,downsampled,5,0_95000,False,False,-1,4599,5,3,False,-1,46,252546,for-loop-index/downsampled/5/0_95000/252546/,FALSE
11248,for-loop-index,downsampled,5,0_95000,False,False,-1,3899,5,3,False,-1,47,252547,for-loop-index/downsampled/5/0_95000/252547/,FALSE
11249,for-loop-index,downsampled,5,0_95000,False,False,-1,3672,5,3,False,-1,48,252548,for-loop-index/downsampled/5/0_95000/252548/,FALSE
12471,grade,cohort,5,0_95000,False,False,-1,5799,10,10,False,-1,20,542520,grade/cohort/10/0_95000/542520/,FALSE
12472,grade,cohort,5,0_95000,False,False,-1,5599,10,9,False,-1,21,542521,grade/cohort/10/0_95000/542521/,FALSE
12487,grade,cohort,5,0_95000,False,False,-1,5899,10,10,False,-1,36,542536,grade/cohort/10/0_95000/542536/,FALSE
13301,grade,reduced,10,0_50000,False,False,-1,1899,20,13,False,-1,0,531200,grade/reduced/20/0_50000/531200/,FALSE
13367,grade,reduced,10,0_75000,False,False,-1,2967,20,13,False,-1,16,531316,grade/reduced/20/0_75000/531316/,FALSE
13381,grade,reduced,10,0_75000,False,False,-1,2699,20,13,False,-1,30,531330,grade/reduced/20/0_75000/531330/,FALSE
13507,grade,reduced,5,0_00000,False,False,-1,5065,10,10,False,-1,6,532106,grade/reduced/10/0_00000/532106/,FALSE
13634,grade,reduced,5,0_75000,False,False,-1,4299,10,8,False,-1,33,532333,grade/reduced/10/0_75000/532333/,FALSE
14817,grade,downsampled,5,0_50000,False,False,-1,4799,10,10,True,0,16,552216,grade/downsampled/10/0_50000/552216/,FALSE
